Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
American Tire Distributors,(205) 841-1316,,,3000 35th Ave N,Birmingham,AL,35207,,,,,"['Mo-Fr 07:30-17:00', 'Sa 08:00-12:30']",,,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/american-tire-distributors-22710851,
Michelin North America Inc,(205) 327-5129,,https://camso.co/en,3005 Messer Airport Hwy,Birmingham,AL,35203,,,,,"['Mo-Fr 07:30-17:00', 'Sa 09:00-12:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/michelin-north-america-inc-570727003,
Speedy Auto,(205) 202-2107,,,9448 Parkway E,Birmingham,AL,35215,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/speedy-auto-560491300,
Darby Tire Co,(205) 326-8626,,,2321 Cogswell Ave,Birmingham,AL,35203,,,,,"['Mo-We 08:00-17:00', 'Th 08:00-16:30', 'Fr 08:00-17:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/darby-tire-co-566668895,
AM Pac Tire District,(205) 841-3336,,,3000 35th Ave N,Birmingham,AL,35207,,,,,['Mo-Fr 09:00-17:00'],,,34 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/am-pac-tire-district-17992904,
Goodyear Wholesale Tire Center,(205) 251-9968,,http://www.goodyear.com,3230 Messer Airport Hwy Ste G,Birmingham,AL,35222,,,,,['Mo-Fr 09:00-17:00'],,,33 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/goodyear-wholesale-tire-center-5262786,
Carroll Tire,(800) 292-3495,,http://www.carrolltire.com,101 Republic St,Birmingham,AL,35214,,,,,"['Mo-Fr 06:00-17:00', 'Sa 08:00-12:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/carroll-tire-542952798,"Carroll Tire is becoming NTW - National Tire Wholesale. NTW will provide benefits like a wide selection of major and private label brands, exceptional dealer support, exclusive programs and promotions, easy online ordering, pickup options, daily delivery in most areas, and quality equipment, tools and supplies. NTW will not only provide the great prices on quality products, but we will also offer competitively priced accessories, excellent after-sales services, and genuine deals. With locations coast to coast, we’ll be everywhere you need us, providing bigger, better, faster tire distribution."
Tire Tech,(205) 250-0553,steven@tiretechinc.net,,2400 Ensley 5 Points W Ave,Birmingham,AL,35218,,,,,"['Mo-Fr', 'Sa 08:00-12:00']",,,23 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/tire-tech-9794878,"SERVICING COMMERCIAL FLEET VEHICLES AND EQUIPMENT: ROAD SERVICE, TIRES, MECHANICAL REPAIR, TRAILER REPAIR, TOWING,  PAINT AND BODY 24 HOURS A DAY 7 DAYS A WEEK"
Southern Tire Mart Wholesale,(205) 848-4300,birmingham905@stmtires.com,https://www.stmtires.com,91 Carson Rd N,Birmingham,AL,35215,,,,,['Mo-Fr 07:00-17:00'],,,50 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/southern-tire-mart-wholesale-566864192,This location is not a service location. It is a wholesale distribution center.
Tci Tire Center Inc,(205) 244-1112,,http://www.tirecenters.com,3200 7th Ave N,Birmingham,AL,35222,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/tci-tire-center-inc-2391806,
Truett Tire Service,(205) 320-1934,,http://www.tiredepotusa.com,1821 3rd Ave S,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/truett-tire-service-3865317,
NTW-National Tire Wholesale,(205) 655-2182,,http://www.ntw.com,101 Republic St,Birmingham,AL,35214,,,,,"['Mo-Fr 08:00-17:00', 'Sa 08:00-12:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/ntw-national-tire-wholesale-566413167,"NTW, National Tire Wholesale, formerly (Carroll Tire) (National Tire Warehouse) (TCI Tire Centers) provides a wide selection of major and private label brands, exceptional dealer support, exclusive programs and promotions, easy online ordering, pickup options, and daily delivery in some areas. More than just tires, we offer a variety of equipment and tools from multiple brands at great prices. NTW not only provides great prices on quality products, but also offers competitively priced accessories, excellent after-sales services, and genuine deals. With locations coast to coast, we are everywhere you need us to be, providing bigger, better, faster tire distribution."
S & S Tire Wholesale,(205) 714-7011,bjenkins@sstire.com,http://www.sstire.com,2828 Messer Airport Hwy,Birmingham,AL,35203,,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-16:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/s-s-tire-wholesale-482574994,
Brothers Tire,(205) 841-3233,,,3349 Vanderbilt Rd,Birmingham,AL,35217,,,,,,,,19 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/brothers-tire-481134846,
Windham Tire & Auto Repair,(205) 208-0590,john@windhamtire.com,http://www.windhamtire.com/,5455 Highway 280,Birmingham,AL,35242,https://www.facebook.com/pages/Windham-Tire-Auto-Repair/1590822771192433,,,,"['Mo-Fr 07:30-17:30', 'Sa 07:30-17:00']",,,30 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/windham-tire-auto-repair-9664859?lid=1001923779588,"Our dedicated service team will take care of your needs with a level of professionalism seldom found in the tire industry! Our safety record is second to none in the business. Performance tuning, minor or major repairs, and routine maintenance are only a few of the services we offer. And, yes, we work on competitive brands. Not sure what the problem is? Call us, we can help. Are your tires bald? Is your car pulling to the right? Have you gone 3,000 miles since your last oil change? Windham Tire & Auto Clinic in Birmingham, Alabama offers all the auto services and tires you need, right here under one roof. In need of vehicle repair or maintenance? We offer brake service, air conditioning, alignments, electric diagnostics, and much more. We have been serving customers from Chelsea, Greystone, and Inverness for years. Stop in and see why we are the area's leading auto service provider. Windham Tire & Auto Repair offers: air conditioning, batteries, belts, brakes, computerized alignment, computerized engine analysis, cooling system maintenance, CV and drive axle, electrical systems, engine service, exhaust, leveling kit installation, oil changes, other services, radiator, scheduled maintenance, shocks and struts, tire repair, tire rotation, towing, transmission maintenance, tune-ups, and wheel balancing."
Firestone Complete Auto Care,(205) 381-4791,,https://local.firestonecompleteautocare.com/alabama/birmingham/460-green-springs-hwy/?lw_cmp=IYP_YPC_MLP_29017,460 Green Springs Hwy,Birmingham,AL,35209,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",3.5,3,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480050221?lid=1002159714568,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 381-4643,,https://local.firestonecompleteautocare.com/alabama/birmingham/4619-us-280/?lw_cmp=IYP_YPC_MLP_12335,4619 Highway 280,Birmingham,AL,35242,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",1,2,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480054567?lid=1002159762442,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 381-4618,022675@bfrc.com,https://local.firestonecompleteautocare.com/alabama/birmingham/2329-center-point-pkwy/?lw_cmp=IYP_YPC_MLP_22675,2329 Center Point Pkwy,Birmingham,AL,35215,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",1,1,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480047297?lid=1002159710464,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 381-4710,003522@bfrc.com,https://local.firestonecompleteautocare.com/alabama/birmingham/2424-bessemer-rd/?lw_cmp=IYP_YPC_MLP_3522,2424 Bessemer Rd,Birmingham,AL,35208,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00']",,,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480047359?lid=1002159772501,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 208-8563,,https://local.firestonecompleteautocare.com/alabama/hoover/6606-tattersall-ln/?lw_cmp=IYP_YPC_MLP_799860,6606 Tattersall Ln,Birmingham,AL,35242,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",,,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-556664059?lid=1002159722442,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Auto Whiz,(205) 882-7587,inverness@autowhiz.biz,https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1699342051487.d23a31b1&ADID=12243365&DEST=https%3A%2F%2Fautowhizal.mydex.com%2F73m9HWsgsyU&C=Brake%20Repair&T=Birmingham&S=AL&PH=(205)%20882-7587&FL=url&TL=off&position=0&PS=1&PI=1&Results=FEED_CLCK&uid=d23a31b1-1a53-430b-8b27-964564764628&REF=&IP=4.224.34.167&UserAgent=Mozilla%2F5.0,509 Cahaba Park Cir,Birmingham,AL,35242,https://www.facebook.com/autowhiz/,,,,['Mo-Fr 07:00-17:30'],,,26 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/auto-whiz-482468691?lid=1002158505086,"Auto Whiz is locally owned and operated. We have the knowledge and experience to get the job done right and have been helping people with their automotive service needs since 1997. We have built a successful business based on trust, respect, and ongoing customer communication. Our team understands and is sensitive to our customer's needs. We are fortunate to have a great group of managers and technicians working with us. Many of our employees have been with us since the beginning. Call us today."
Bama Tires,(205) 854-2039,,,1657 Center Point Pkwy,Birmingham,AL,35215,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/bama-tires-536095155?lid=1001530386219,
"Duffy's Garage Land Rover, BMW, Jaguar, Audi, & Mini Cooper",(205) 715-2100,brad@duffysgarage.com,http://www.duffysgarage.com,4330 First Av. S.,Birmingham,AL,35222,https://www.facebook.com/DuffysGarage,,,,['Mo-Fr 07:30-17:00'],4.5,10,14 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/duffys-garage-land-rover-bmw-jaguar-audi-mini-cooper-474483688?lid=1000439551588,
Rob'e Mans Automotive Service,(205) 871-4712,info@robemans.com,http://www.robemans.com,2600 18th Street South,Birmingham,AL,35209,https://www.facebook.com/robemans,,,,"['Mo-Th 07:00-17:30', 'Fr 07:00-17:00']",5,4,40 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/robe-mans-automotive-service-467103370?lid=1000437178645,"We are a family owned and operated Honda, Acura, Nissan, Infiniti, Toyota and Lexus repair facility with 24 month or 24,000 mile warranty on most items. We take pride in delivering a higher level of quality service.  
ABOUT US.....As childhood friends, Eddie Cleveland and Angelo Roberson shared a passion for figuring out how things worked; specifically motorcycles and cars. More to the point, they spent a lot of time figuring out why something didnt work. Like most passions, it was only a matter of time before it became a profession. In 1983, Eddie and Angelo formed Robe Mans, working as mechanics servicing only Honda vehicles. When Honda introduced the upscale Acura line, they started servicing the Acura line. As time passed on, health concerns drove Angelo to retire. Eddie continued to run the ever-growing business, concentrating on maintaining the kind of personal and professional service that has earned Robe Mans a stellar reputation. In 2006, after numerous customer requests, Robe Mans decided to extend their services to include Toyota and Lexus, purchasing the building next door to their existing facility to accommodate the newly added lines. In 2012, again by popular demand and multiple customer requests, Rob'e Mans extended its professional service to include the Nissan and Infiniti brands. Today, Eddie Cleveland and the staff at Robe Mans continues to provide the kind of customer-focused service that started back in 1983, earning and keeping the trust of his customers by providing quality services with a personal touch."
Eastern Tire Distributors,(205) 854-2326,easttire@hiwaay.net,http://www.easttire.com,1664 Center Point Pkwy,Birmingham,AL,35215,https://www.facebook.com/pages/eastern-tire-distributors/110961182299740,,,,"['Mo-Fr 08:00-17:30', 'Sa 07:30-15:00']",5,2,51 Years,10 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/eastern-tire-distributors-14327009?lid=1001107795740,Brake Service Brakes Financing Available Wheel Alignments
Jim And Jim's Motor Company,(205) 879-5151,info@autorepairal.com,,1724 27th Ct S,Birmingham,AL,35209,https://www.facebook.com/acdelco,,,,['Mo-Fr 08:00-17:00'],5,1,,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/jim-and-jims-motor-company-481015878?lid=1001616073583,
Hanvey Tire Inc,(205) 786-7682,cgreen12@charter.net,http://www.hanveytireautorepair.com,3000 Lomb Ave,Birmingham,AL,35208,https://www.facebook.com/hanveytire,,,,['Mo-Fr 07:00-17:00'],,,49 Years,12 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hanvey-tire-inc-3763544?lid=1001580311304,"Hanvey Tire and Auto Repair is an automotive repair and tire shop located in Birmingham, Al. Auto Repair, Tires, Alignments, Oil Change, Brakes, Tune Ups, Diagnostics, C.V. Axle"
Esco Auto Service Inc,(205) 833-0860,escoautoservice@bellsouth.net,http://www.acdelco.com,1161 Gadsden Hwy,Birmingham,AL,35235,https://www.facebook.com/pages/esco-auto-service/125787460808120,,,,['Mo-Fr 07:00-17:00'],,,32 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/esco-auto-service-inc-482421413?lid=1000625280134,"We service all makes and models, foreign and domestic. We offer quality work- guaranteed. - AC Repairs - Brake Service - Major & Minor Repairs - Computer Diagnostic Service"
Lee-Rodgers Tire,(205) 517-8692,,https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1699342160273.ab3122f3&ADID=12043953&DEST=http%3A%2F%2Fleerodgerstirebham.mydex.com%2F9DG8_gjTQjs&C=Tire%20Dealers&T=Birmingham&S=AL&PH=(205)%20517-8692&FL=url&TL=off&position=0&PS=1&PI=1&Results=FEED_CLCK&uid=ab3122f3-995a-4dd3-babf-432d74ff4ead&REF=&IP=4.224.34.167&UserAgent=Mozilla%2F5.0,311 Richard Arrington Jr Blvd S,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/lee-rodgers-tire-573718447?lid=1002120786736,
The Tire Depot,(205) 322-5535,tire_depot@bellsouth.net,http://tiredepotusa.com,1821 3rd Ave S,Birmingham,AL,35233,,,,,,,,24 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/the-tire-depot-21722247,
American Tire Distributors,(205) 841-1316,,,3000 35th Ave N,Birmingham,AL,35207,,,,,"['Mo-Fr 07:30-17:00', 'Sa 08:00-12:30']",,,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/american-tire-distributors-22710851,
