Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Vulcan Tire & Automotive,(205) 979-7841,tires@vulcantireandauto.com,https://www.vulcantireandauto.com,3420 Old Columbiana Rd,Hoover,AL,35226,,,,,"['Mo-Fr 07:30-17:30', 'Sa 07:30-14:00']",,,22 Years,,,,,https://www.yellowpages.com/hoover-al/mip/vulcan-tire-automotive-550000623,Vulcan Tire & Automotive is a full-service auto shop with ASE-certified technicians on staff to maintain and restore the reliability of your vehicle
Auto Whiz,(205) 739-0004,speedytire@bellsouth.net,http://www.autowhiz.biz,2156 Valleydale Rd,Hoover,AL,35244,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:30-16:00']",,,8 Years,,,,,https://www.yellowpages.com/hoover-al/mip/auto-whiz-543464945,
Vulcan Tire & Automotive,(205) 979-7841,tires@vulcantireandauto.com,https://www.vulcantireandauto.com,3420 Old Columbiana Rd,Hoover,AL,35226,,,,,"['Mo-Fr 07:30-17:30', 'Sa 07:30-14:00']",,,22 Years,,,,,https://www.yellowpages.com/hoover-al/mip/vulcan-tire-automotive-550000623,Vulcan Tire & Automotive is a full-service auto shop with ASE-certified technicians on staff to maintain and restore the reliability of your vehicle
Auto Whiz,(205) 739-0004,speedytire@bellsouth.net,http://www.autowhiz.biz,2156 Valleydale Rd,Hoover,AL,35244,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:30-16:00']",,,8 Years,,,,,https://www.yellowpages.com/hoover-al/mip/auto-whiz-543464945,
Expert Tire,(205) 428-2311,social@bfrc.com,http://www.experttire.com,602 19th St N,Bessemer,AL,35020,,,,,['Mo-Fr 09:00-17:00'],,,123 Years,,,,,https://www.yellowpages.com/bessemer-al/mip/expert-tire-2003950,
Dan's Auto Repair,(205) 674-0103,,,4290 Main St,Adamsville,AL,35005,,,,,['Mo-Fr 09:00-17:00'],,,43 Years,,,,,https://www.yellowpages.com/adamsville-al/mip/dans-auto-repair-7994805,
Brown Automotive & Fleet Services,(205) 508-5855,brownautoandfleet@gmail.com,,84 Cedar Ln Ste 104,Trussville,AL,35173,,,,,,,,7 Years,,,,,https://www.yellowpages.com/trussville-al/mip/brown-automotive-fleet-services-523956875,
Tire Outlet,(205) 681-1118,melanie@metrotireinc.com,,6000 Highway 79,Pinson,AL,35126,,,,,"['Mo-Fr 08:00-18:00', 'Sa 08:00-16:00']",,,25 Years,,,,Accredited Business,https://www.yellowpages.com/pinson-al/mip/tire-outlet-9594755,
Panos Automotive,(205) 655-1527,panosautomotive@gmail.com,,6857 Gadsden Hwy,Trussville,AL,35173,,,,,['Mo-Fr 07:00-17:30'],4.5,8,40 Years,,,,Accredited Business,https://www.yellowpages.com/trussville-al/mip/panos-automotive-470276611,
Benton Nissan of Bessemer,(205) 519-4221,dbenton@bentonautogroup.com,https://www.bentonnissanofbessemer.com,5487 Academy Way,Bessemer,AL,35022,,,,,['Mo-Sa 09:00-19:00'],,,54 Years,,,,Accredited Business,https://www.yellowpages.com/bessemer-al/mip/benton-nissan-of-bessemer-530897882,"Welcome to Benton Nissan of Bessemer! Our goal is to help you find your dream Nissan today! Benton Nissan of Bessemer is proud to offer our customers with a wide range of automotive services so you can get all of your needs handled right here at our Bessemer, AL location!"
Stewart Auto Service,(205) 681-9745,ehenson527@yahoo.com,https://locations.autovalue.com,4452 Pinson Blvd,Pinson,AL,35126,,,,,['Mo-Fr 08:00-17:00'],,,71 Years,,,,Accredited Business,https://www.yellowpages.com/pinson-al/mip/stewart-auto-service-534878514,
Firestone Complete Auto Care,(205) 512-4011,655317@bfrc.com,https://local.firestonecompleteautocare.com/alabama/jasper/604-hwy-78-w/?lw_cmp=IYP_YPC_MLP_655317,604 Highway 78 W,Jasper,AL,35501,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",,,97 Years,12 Years ,,,,https://www.yellowpages.com/jasper-al/mip/firestone-complete-auto-care-454096019?lid=1002159748028,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Supreme Automotive & Collision Center,(205) 208-7390,supremeauto205@yahoo.com,https://supremeauto205.com,2428 Warrior Rd,Birmingham,AL,35208,https://www.facebook.com/pages/supreme-automotive/161464193954671,,,,"['Mo-Fr 08:00-17:00', 'Sa 09:00-14:00']",,,22 Years,3 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/supreme-automotive-collision-center-5661507?lid=1002104397189,"Established in 2001, Supreme Automotive is a reputable Auto Collision & Body Shop which specializes in custom paint jobs, repairs & Pre-Owned auto sales. We also offer in-house financing and insurance claims for repairs. We consistently dedicate our efforts to guiding and advising our customers of the best vehicles on the market. We offer a wide range of options, and our professional team is here for your every need."
Firestone Complete Auto Care,(205) 381-4791,,https://local.firestonecompleteautocare.com/alabama/birmingham/460-green-springs-hwy/?lw_cmp=IYP_YPC_MLP_29017,460 Green Springs Hwy,Birmingham,AL,35209,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",3.5,3,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480050221?lid=1002159714568,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 381-4643,,https://local.firestonecompleteautocare.com/alabama/birmingham/4619-us-280/?lw_cmp=IYP_YPC_MLP_12335,4619 Highway 280,Birmingham,AL,35242,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",1,2,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480054567?lid=1002159762442,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 381-4618,022675@bfrc.com,https://local.firestonecompleteautocare.com/alabama/birmingham/2329-center-point-pkwy/?lw_cmp=IYP_YPC_MLP_22675,2329 Center Point Pkwy,Birmingham,AL,35215,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",1,1,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480047297?lid=1002159710464,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 381-4710,003522@bfrc.com,https://local.firestonecompleteautocare.com/alabama/birmingham/2424-bessemer-rd/?lw_cmp=IYP_YPC_MLP_3522,2424 Bessemer Rd,Birmingham,AL,35208,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00']",,,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480047359?lid=1002159772501,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 208-8563,,https://local.firestonecompleteautocare.com/alabama/hoover/6606-tattersall-ln/?lw_cmp=IYP_YPC_MLP_799860,6606 Tattersall Ln,Birmingham,AL,35242,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",,,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-556664059?lid=1002159722442,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Hanvey Tire Inc,(205) 786-7682,cgreen12@charter.net,http://www.hanveytireautorepair.com,3000 Lomb Ave,Birmingham,AL,35208,https://www.facebook.com/hanveytire,,,,['Mo-Fr 07:00-17:00'],,,49 Years,12 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hanvey-tire-inc-3763544?lid=1001580311304,"Hanvey Tire and Auto Repair is an automotive repair and tire shop located in Birmingham, Al. Auto Repair, Tires, Alignments, Oil Change, Brakes, Tune Ups, Diagnostics, C.V. Axle"
Eastern Tire Distributors,(205) 854-2326,easttire@hiwaay.net,http://www.easttire.com,1664 Center Point Pkwy,Birmingham,AL,35215,https://www.facebook.com/pages/eastern-tire-distributors/110961182299740,,,,"['Mo-Fr 08:00-17:30', 'Sa 07:30-15:00']",5,2,51 Years,10 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/eastern-tire-distributors-14327009?lid=1001107795740,Brake Service Brakes Financing Available Wheel Alignments
Auto Whiz LLC,(205) 995-9002,,http://www.autowhiz.biz,Highway 280 S,Birmingham,AL,35244,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:30-16:00']",5,2,26 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/auto-whiz-llc-6721902?lid=1000238807742,"Auto Whiz is locally owned and operated since 1997. We can assist you with the majority of your automotive repair or maintenance needs. We work on most import and domestic brands of cars, SUVs and light trucks. We also provide service for most National Account or Fleet vehicles. We do the best job with the best products."
Mark's Auto Service,(205) 328-4421,,,2616 5th Ave S,Birmingham,AL,35233,,,,,['Mo-Fr 07:30-17:00'],,,38 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/marks-auto-service-9767274,"Marks Auto Service Inc offers complete maintenance and repair to autos, light trucks, sports utility vehicles, diesels and hybrids. Based in Birmingham, Ala., it offers the services of improving fuel mileage and engine performance, fuel Injection, electrical, towing, diagnostic, mufflers and exhaust. Additionally it offers computerized four wheel alignments with state of the art Hunter laser alignment machine and computer wheel balancing. Marks Auto Service Inc. carries brands such as Bosch, GMB, Glyco, Brembo, Delphi, Vaico and Sachs and is equipped to diagnose and repair late model computerized vehicles."
Lee-Rodgers Tire Co.,(205) 986-0138,,http://www.leerodgerstire.com,311 21st Ave S,Birmingham,AL,35205,,,,,['Mo-Fr 07:30-17:00'],,,101 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/lee-rodgers-tire-co-519369233,
Jim Burke Hyundai Parts,(205) 324-3371,jwhiten@jimburke.com,http://www.jimburke.com,1301 5th Ave N,Birmingham,AL,35203,,,,,"['Mo-Fr 07:00-19:00', 'Sa 09:00-18:00']",,,44 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/jim-burke-hyundai-parts-473254653,
Precision Tune Auto Care,(205) 637-5523,5617@ptacit.com,http://www.precisiontune.com/locations/pelham-al,"1201 Bank Head Highway, West",Birmingham,AL,35204,,,,,"['Mo-Fr 08:00-18:00', 'Sa 08:00-16:00']",,,47 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/precision-tune-auto-care-12380861,"For over 35 years, Precision Tune Auto Care has offered value and convenience, providing professional car care and repair backed up by a best-in-class nationwide warranty. We know your time is valuable and convenience is important  thats why no appointment is necessary and most of our services can be completed while you wait. From factory scheduled maintenance to major repairs for autos, SUVs, Minivans and Hybrids, count on us for complete car carebumper to bumper. We love being part of your community. Visit one of our modern, comfortable facilities where our certified technicians will help keep your vehicle safe & reliable on the road. Convenient, affordable, dependable; We are car experts, Tuned In To You."
Birmingham Frame & Alignment,(205) 322-4844,jason.miklic@bhamspring.com,http://bhamtruckframe.com,3300 Reverend Abraham Woods Jr Blvd,Birmingham,AL,35222,,,,,['Mo-Fr 08:00-16:00'],,,23 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/birmingham-frame-alignment-467590948,
D & H Auto Sales,(205) 324-1616,,,2930 7th Ave N,Birmingham,AL,35203,,,,,['Mo-Fr 09:00-17:30'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/d-h-auto-sales-451113070,
Bobbys Frame and Alignment,(205) 780-2487,,,1616 Lomb Ave,Birmingham,AL,35208,,,,,['Mo-Fr 09:00-17:00'],,,44 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/bobbys-frame-and-alignment-2883067,
Serra Chevrolet,(205) 853-2906,emilyf@serrahyundai.com,http://www.serrachevy.com//?cs:pro=repman&cs:e=yel,1170 Center Point Pkwy,Birmingham,AL,35215,,,,,"['Mo-Fr 07:00-20:00', 'Sa 08:00-20:00']",3.5,3,35 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/serra-chevrolet-535108550,"The Serra Automotive Group has more than 15 locations in Alabama. The company is one of the largest automotive retailers in Alabama. It provides financial assistance and repair and maintenance services. The Serra Automotive Group offers new and pre-owned vehicles from various brands, such as Chevrolet, Hyundai, jeep, Toyota and Subaru. The company provides a variety of parts and accessories. It operates Serra Chevrolet, which offers cars, trucks, vans and sport utility vehicles. Serra Chevrolet maintains a collision center, as well as provides the Aveo, Cobalt, Impala and Malibu models from Chevrolet. The dealership maintains a pre-owned inventory of Buick, Cadillac and Mercury."
