Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Jim Burke Hyundai,(205) 533-9550,jgibbs@jimburke.com,http://www.jimburkebirminghamhyundai.com,1424 5th Ave N,Birmingham,AL,35203,,,,,"['Mo-Fr 09:00-19:00', 'Sa 09:00-18:00']",5,1,28 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/jim-burke-hyundai-468094473,Are YOU searching for a NEW HYUNDAI near birmingham. Alabama? stop by JIM Burke HYUNDAI to SEE an amazing selection of NEW HYUNDAI models. PRE owned and certified PRE owned vehicles.
North Birmingham Truck & Auto,(205) 320-1111,nbirmpts@bellsouth.net,,3533 28th Pl N,Birmingham,AL,35207,,,,,['Mo-Fr 09:00-17:00'],5,1,29 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/north-birmingham-truck-auto-12097010,Serving Central Alabama!
Precision Sales & Service Inc,(205) 591-2266,bgamel@alternatefuel.com,http://www.workhorseservice.com,451 64th Pl S,Birmingham,AL,35212,,,,,['Mo-Fr 07:30-17:00'],5,1,32 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/precision-sales-service-inc-474534781,"We specialize in keeping parts on hand and ship right away.We carry all many parts: Chassis parts,brake hoses, disc pads, calipers, rotors, steering, suspension,throttle sway bars,air conditioner,valves,hub caps,exhaust,drive belts & ignition switches"
Abc Auto Parts,(205) 841-8661,abcpartsinc@bellsouth.net,http://www.abcautopartshouse.com,1128 Pinson Valley Pkwy,Birmingham,AL,35217,,,,,"['Mo-Fr 08:00-17:00', 'Sa 08:00-15:00']",,,55 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/abc-auto-parts-454103501,"Founded in 1968, ABC Auto Parts is a supplier of auto parts to automotive repair centers. Based in Birmingham, Ala., it offers over 200 product lines and 70,000 SKUs. Some of the industry s brands offered by the company include ACDelco, Monroe, Motorcraft, Wagner and Wix. The wide range of customers include do it yourselfers, new car dealers, automotive repair shops, tire stores and oil change centers. ABC Auto Parts comprises of a warehouse distribution business, several retail stores, two automotive glass shops and a truck accessory store."
Always Low Price Auto Glass,(205) 488-1577,samsamander@gmail.com,http://www.autoglassatlowprices.com,3520 27th Ave N,Birmingham,AL,35207,,,,,"['Mo 08:00-17:00', 'Tu 09:00-17:00', 'We-Fr 08:00-17:00', 'Sa 08:00-15:00']",3,2,20 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/always-low-price-auto-glass-2716251,"We are a local, family owned auto glass shop in Birmingham, AL. We offer both in-shop and mobile auto glass services. Our certified auto glass technicians are highly skilled in personal & commercial vehicles. Get a free quote today!"
Spradlin Alan & Johnny Auto Parts,(205) 322-0434,alanspradlin@yahoo.com,,2924 Messer Airport Hwy,Birmingham,AL,35203,,,,,"['Mo-Fr 08:00-17:00', 'Sa 08:00-16:00']",,,66 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/spradlin-alan-johnny-auto-parts-1213493,
AutoZone Auto Parts,(205) 856-1046,customer.service@autozone.com,https://www.autozone.com/locations/al/birmingham/2032-center-point-pkwy.html,2032 Center Point Pkwy,Birmingham,AL,35215,,,,,"['Mo-Sa 07:00-21:00', 'Su 08:00-20:00']",1,3,44 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/autozone-auto-parts-383476,"AutoZone Center Point in Birmingham, AL is one of the nation's leading retailer of auto parts including new and remanufactured hard parts, maintenance items and car accessories. Visit your local AutoZone in Birmingham, AL or call us at (205) 856-1046."
Drive Today USA,(205) 714-3440,dtodayusa@gmail.com,http://www.drivetodayusa.com,700 8th St S,Birmingham,AL,35233,,,,,['Mo-Sa 09:00-19:00'],1,1,30 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/drive-today-usa-452447194,
On Site Auto Glass Services,(205) 715-8859,,,513 Cahaba Park Cir,Birmingham,AL,35242,,,,,,1,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/on-site-auto-glass-services-517660696,
"Auto & Truck Services, Inc.",(205) 252-9300,nrutland@gmail.com,http://www.theartofrepair.com,100 25th St S,Birmingham,AL,35233,,,,,['Mo-Fr 07:30-17:30'],,,40 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/auto-truck-services-inc-560236916,"Find ACDelco auto parts for your vehicle at Auto & Truck Services Inc. in Birmingham, AL. Auto & Truck Services Inc. provides high-quality car parts for all major vehicle systems, as well as off-road, marine and industrial equipment. Our product portfolio includes maintenance parts, such as car batteries, spark plugs, oil filters, air filters, wiper blades, and brakes, as well as repair parts such as alternators, radiators, chassis and heating/cooling components."
Estes Automotive Center,(205) 251-3300,kelly@estesauto.com,http://www.estesauto.com,2331 5th Ave S,Birmingham,AL,35233,,,,,['Mo-Fr 07:00-18:00'],,,32 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/estes-automotive-center-482421571,"Find ACDelco auto parts for your vehicle at Estes Automotive Center in Birmingham, AL. Estes Automotive Center provides high-quality car parts for all major vehicle systems, as well as off-road, marine and industrial equipment. Our product portfolio includes maintenance parts, such as car batteries, spark plugs, oil filters, air filters, wiper blades, and brakes, as well as repair parts such as alternators, radiators, chassis and heating/cooling components."
Jim Burke Subaru,(205) 588-6281,sales@jimburke.com,https://www.jimburkesubarucars.com,1301 5th Ave N,Birmingham,AL,35203,,,,,"['Mo-Fr 09:00-19:00', 'Sa 09:00-18:00']",,,76 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/jim-burke-subaru-468542440,"Jim Burke Subaru is your committed Birmingham Subaru dealership, and we are privileged to be regarded as one of the best car dealers near Hoover, AL! From the moment you set foot on our showroom floor, you'll feel right at home. Our specialists will introduce you to our collection of new Subaru models and used cars for sale, help you obtain a low-interest auto loan, or direct you to our Subaru service center. 
 
For five years in a row, our Subaru dealership has won the coveted ""Subaru Stellar Care Award."" We consistently demonstrate our commitment to customers by providing excellent auto sales, parts, and service, and treating others as we'd like to be treated. Visit Jim Burke Subaru in Birmingham today, ""Where the Sale Never Ends!"""
Southern Tire Mart,(205) 322-6602,birmingham211@stmtires.com,https://locations.stmtires.com/al/birmingham/3340-vanderbilt-rd,3340 Vanderbilt Rd Ste 110,Birmingham,AL,35217,,,,,"['Mo-Fr 07:30-17:00', 'Sa 08:00-12:00']",,,50 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/southern-tire-mart-560626891,"Southern Tire Mart is your source for America's favorite quality brands. At locations throughout the southern United States, we continue the mission we began in 1973 to serve families and businesses with the best passenger and commercial tires on the market. And, to provide you the latest in parts and products at the best prices with unparalleled service. Whether you're looking for semi-truck tires or car tires, you'll find just what you need right here and you'll discover why Southern Tire Mart is North America's #1 Commercial Tire Store!"
Peek's Auto Tops & Interiors,(205) 668-0099,peeksauto@gmail.com,http://peeksautotops.com,600 Keystone Ct,Pelham,AL,35124,https://www.facebook.com/peeksauto,,,,['Mo-Fr 08:00-17:00'],,,20 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/pelham-al/mip/peeks-auto-tops-interiors-505021655?lid=1001731680509,
Cadillac Service,(205) 781-2318,cadillacservi400@bellsouth.net,http://www.acdelco.com,1136 Tuscaloosa Ave SW,Birmingham,AL,35211,,,,,"['Mo-Tu 07:30-16:30', 'We 07:30-13:00', 'Th-Fr 07:30-16:30']",,,48 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/cadillac-service-480003807,"Find ACDelco auto parts for your vehicle at Cadillac Service in Birmingham, AL. Cadillac Service provides high-quality car parts for all major vehicle systems, as well as off-road, marine and industrial equipment. Our product portfolio includes maintenance parts, such as car batteries, spark plugs, oil filters, air filters, wiper blades, and brakes, as well as repair parts such as alternators, radiators, chassis and heating/cooling components."
Advance Auto Parts,(205) 582-6461,,https://stores.advanceautoparts.com/al/birmingham/9125-parkway-e?utm_medium=local&utm_source=yext&utm_content=listing-&utm_campaign=aap,9125 Parkway E,Birmingham,AL,35206,,,,,"['Mo-Sa 07:30-21:00', 'Su 09:00-20:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/advance-auto-parts-571476544,"Your local Advance Auto Parts at 9125 Parkway E in Birmingham offers automotive aftermarket products, free store services and same day options at most locations. 
 
Our leading brands include FRAM fluids and oil filters, Carquest parts and DieHard® batteries. At most locations we offer free battery testing, free battery and wiper installations with purchase, free engine code scanning, free starter and alternator testing and free battery and oil recycling. Save by signing up for Speed Perks, the loyalty program that earns points toward discounts on store items and gas at participating Shell stations. 
  
Call your local store or shop online today!"
Performance Specialties Inc,(205) 841-7790,psimoore@bellsouth.net,http://www.performancespecialtiesinc.com,779 N Pine Hill Rd,Birmingham,AL,35217,,,,,['Mo-Fr 08:00-17:30'],,,32 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/performance-specialties-inc-10635873,"Albert Moore and Rick Pennington provide custom race engines for all types of racing. With over 35 years experience each in engine building and racing they can build you an engine that will put you up front.  PSI performs all engine machining on site to include state of the art balancing and blueprinting for maximum horsepower and longevity.  PSI has a computer controlled Stuska dynamometer to find that lost power and to make sure you are getting the power you pay for.  PSI can build your engine, build a new engine with new parts or build with one of our seasoned cores on hand.  PSI can restore your original muscle or classic car engine.  PSI offers custom engine packages and crate engines ready to install in your car, truck, Street rod, or Race Car.  PSI works on all types of engines such as Buick, Oldsmobile, Pontiac, Chrysler, Dodge, Ford, Mercury, Toyota, AMC, and more.  PSI has an extensive parts inventory that includes all name brands at reasonable prices.  PSI is a stocking VP fuel dealer that can supply all your fuel needs.  PSI sells Brad Penn High Performance Oil (The Green Stuff)  If you don’t see what you want, call for a custom engine quote.  As always you will get friendly one on one service every time you call."
Pep Boys Tires,,,,,,,,,,,,,,,14 Years,4 Years ,,,Accredited Business Accredited Business Accredited Business Accredited Business Accredited Business Accredited Business Accredited Business Accredited Business Accredited Business Accredited Business Accredited Business Accredited Business,https://www.yellowpages.com/birmingham-al/mip/pep-boys-tires-481114947,
