Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
"Dr. Diana Paulk, PHD",(205) 807-5372,,http://www.anxietyandtraumatherapybirmingham.com,3499 Independence Dr Ste 100,Birmingham,AL,35209,,,,,['Mo-Fr 09:00-17:00'],,,19 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-diana-paulk-phd-540557093,"I am a licensed psychologist and have more than 15 years of experience offering  
therapy to a variety of individuals in many different settings. Over the years, I  
have come to relish working with individuals who are striving to overcome issues  
associated with recent or past trauma - symptoms such as stress, avoidance  
and overwhelming feelings of anxiety, depression or worry. Together we can  
work to identify ways to help you get unstuck and get past current situations  
that are blocking your path to wellness."
Gottlieb  Jody PhD,(205) 999-1214,,,1400 21st Street Ensley,Birmingham,AL,35218,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/gottlieb-jody-phd-561191381,"About Dr. Jody S. Gottlieb PhD is a female clinical psychologist in Birmingham, AL. She is licensed to practice by the state board in Alabama (439).  Specialty: Clinical Psychologist A Clinical Psychologist is a mental health care specialist who offers counseling services to adults, couples, children, and communities. With a Ph.D. in psychology, they work in research, teaching, and clinical practice to help patients understand themselves and cope with day-to-day issues, mental illness, abuse, addiction, and loss. They are responsible for the assessment, diagnosis, and treatment of psychological issues within the clinical setting."
Hope Mental Health Counseling,(205) 704-0226,,,100 Century Park S,Birmingham,AL,35226,,,,,,,,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/hope-mental-health-counseling-505348014,Individual counseling and group psychotherapy for adolescents and adults.
Alabama Professional Counseling,(205) 732-5072,,,741 Volare Dr,Birmingham,AL,35244,,,,,"['Mo 18:00-20:00', 'We-Th 18:00-20:00', 'Sa 08:00-14:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-professional-counseling-548639008,Alabama professional counseling. LLC provides counseling for individuals and couples to the Greater birmingham area. Evenings and weekend appointments available NOW!.
"Price, Lynda C",(205) 547-0145,,,2214 3rd Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/price-lynda-c-544392482,
"Dailey, Latrice S",(205) 612-7091,,,2214 3rd Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dailey-latrice-s-547518191,
"Cecil, Dominique",(205) 447-0585,,,205 20th St N Ste 600,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/cecil-dominique-526179274,
ProCredit A Consumer Assistance Organization,(888) 532-7512,,,2015 1st Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/procredit-a-consumer-assistance-organization-496300230,
Taylor & Co,(205) 251-0280,,,1926 3rd Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/taylor-co-16980250,
"Sullen, Alisha L",(205) 502-7278,,,1728 5th Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/sullen-alisha-l-561600396,
"Roy Chambers IV, ALC",(205) 502-7278,,,1728 5th Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/roy-chambers-iv-alc-562466528,
JR Moore Associates,(205) 957-6600,,,1600 4th Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/jr-moore-associates-512342953,
"Wilson, Myra L",(205) 777-4022,,,404 15th St N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/wilson-myra-l-547584371,
"Palmore, Rachel B",(205) 777-4022,,,404 15th St N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/palmore-rachel-b-547621471,
"Dr. Laquise Shermaine Harbin, MD",(205) 777-4022,,,404 15th St N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-laquise-shermaine-harbin-md-550825225,
"Hill, Kahla R",(205) 777-4022,,,404 15th St N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/hill-kahla-r-562588817,
"Leah Brast, MS, ALC",(205) 323-5878,,,3420 2nd Ave N,Birmingham,AL,35222,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/leah-brast-ms-alc-569400860,
"Amber Fox, LPC",(205) 502-4664,,,2000 6th Ave S,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/amber-fox-lpc-561563410,
"Mathews, Andrea LPC NCC",(205) 598-5255,,http://www.andreamathews.com,2112 11th Ave S,Birmingham,AL,35205,http://www.facebook.com/andrea.mathews.eage22,,,,['Mo-Fr 09:00-17:00'],,,26 Years,8 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/mathews-andrea-lpc-ncc-13494597?lid=1001329770547,"Andrea provides both Cognitive and Transpersonal Therapy for a broad range of issues and diagnoses, to individuals, couples, including alternative relationships, families and groups.  See Andrea for depression, anxiety, personal growth, GLBT issues, and more."
Psych Wellness South LLC,(205) 871-0031,,http://www.psychwellnesssouthhomewoodal.com,1 Independence Plz Ste 716,Birmingham,AL,35209,https://www.facebook.com/Psych-Wellness-South-LLC-184822111948710,,,,['Mo-Fr 09:30-17:30'],,,22 Years,10 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/psych-wellness-south-llc-475063468?lid=1001616290322,"Psych Wellness South LLC offers a professional and personalized mental health services in a quiet, friendly and supportive environment. Our psychiatrists and psychologist have many years of experience.  Psych Wellness provides comprehensive psychiatric and psychological evaluations, medication management, psychological testing and therapy sessions. Dr. Cesar Munoz (MD) and Dr. Guendalina Ravello Ph.D are both fully bilingual (English and Spanish) with multicultural experience."
Dr. Carson's Natural Healing Center,(888) 290-3363,,https://www.drvcarson.com/,,,,,https://www.facebook.com/Dr-Carsons-Natural-Healing-Center-132489633468784,,,,"['Mo-Fr 08:00-20:00', 'Sa 09:00-17:00']",5,16,28 Years,14 Years ,,,,https://www.yellowpages.com/nationwide/mip/dr-carsons-natural-healing-center-518431238?lid=1001984705506,Please Visit Our Website for More Information
Psych Wellness South LLC,(205) 871-0031,,http://www.psychwellnesssouthhomewoodal.com,1 Independence Plz Ste 716,Birmingham,AL,35209,https://www.facebook.com/Psych-Wellness-South-LLC-184822111948710,,,,['Mo-Fr 09:30-17:30'],,,22 Years,10 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/psych-wellness-south-llc-475063468?lid=1000438573875,"Psych Wellness South LLC offers a professional and personalized mental health services in a quiet, friendly and supportive environment. Our psychiatrists and psychologist have many years of experience.  Psych Wellness provides comprehensive psychiatric and psychological evaluations, medication management, psychological testing and therapy sessions. Dr. Cesar Munoz (MD) and Dr. Guendalina Ravello Ph.D are both fully bilingual (English and Spanish) with multicultural experience."
"Mathews, Andrea LPC NCC",(205) 598-5255,,http://www.andreamathews.com,2112 11th Ave S,Birmingham,AL,35205,http://www.facebook.com/andrea.mathews.eage22,,,,['Mo-Fr 09:00-17:00'],,,26 Years,8 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/mathews-andrea-lpc-ncc-13494597?lid=1001329770547,"Andrea provides both Cognitive and Transpersonal Therapy for a broad range of issues and diagnoses, to individuals, couples, including alternative relationships, families and groups.  See Andrea for depression, anxiety, personal growth, GLBT issues, and more."
Samaritan Counseling Center,(205) 967-3660,,http://www.samaritancc.org,100 Missionary Rdg,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],,,44 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/samaritan-counseling-center-470772868?lid=1000966232978,"Samaritan Counseling Centers offer counseling and coaching services for a wide variety of problems and issues, including anxiety, depression, grief and loss, trauma, and addictions.  We also offer premarital and spiritual counseling, as well as assistance with relationships, sex and intimacy, and marriage and family issues.  If medical or psychological problems beyond our expertise are identified, our counselors are quick to refer to medical or other specialists, as indicated.

In addition, as a non-profit organization, we are committed to supporting the diverse communities of greater Birmingham and to extending our services to marginalized and under-served persons.  As an example, we provide counseling and education services for the homeless in partnership with the Firehouse Shelter and other community support agencies.  In addition, with the demonstration of need, we are often able to discount our fees for clients who are suffering financial hardship.

If you or a loved one is looking for a safe and respectful place for help, hope, and healing, consider giving Samaritan Counseling a call.  Our appointment desk can be reached at 205-967-3660 from 9:00 a.m. until 5:00 p.m. Monday through Friday.  We are often able to offer after-hours appointments by special request.  We stand ready to assist individuals of all ages, including families and small children.

Samaritan Counseling Centers of Greater Birmingham also offers professional coaching services and coach training.  To learn more about our coaching program, Coaching Through the Gaps, click here."
"Mathews, Andrea LPC NCC",(205) 598-5255,,http://www.andreamathews.com,2112 11th Ave S,Birmingham,AL,35205,http://www.facebook.com/andrea.mathews.eage22,,,,['Mo-Fr 09:00-17:00'],,,26 Years,8 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/mathews-andrea-lpc-ncc-13494597?lid=1001329770547,"Andrea provides both Cognitive and Transpersonal Therapy for a broad range of issues and diagnoses, to individuals, couples, including alternative relationships, families and groups.  See Andrea for depression, anxiety, personal growth, GLBT issues, and more."
Psych Wellness South LLC,(205) 871-0031,,http://www.psychwellnesssouthhomewoodal.com,1 Independence Plz Ste 716,Birmingham,AL,35209,https://www.facebook.com/Psych-Wellness-South-LLC-184822111948710,,,,['Mo-Fr 09:30-17:30'],,,22 Years,10 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/psych-wellness-south-llc-475063468?lid=1001616290322,"Psych Wellness South LLC offers a professional and personalized mental health services in a quiet, friendly and supportive environment. Our psychiatrists and psychologist have many years of experience.  Psych Wellness provides comprehensive psychiatric and psychological evaluations, medication management, psychological testing and therapy sessions. Dr. Cesar Munoz (MD) and Dr. Guendalina Ravello Ph.D are both fully bilingual (English and Spanish) with multicultural experience."
Pitts & Associates,(205) 870-3520,,http://www.homewoodtherapy.com,601 Beacon Pkwy W Ste 201,Birmingham,AL,35209,https://www.facebook.com/pittsandassociates,,,,['Mo-Fr 08:00-17:00'],,,19 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/pitts-associates-473672227?lid=1001329779453,|Year Established: 2004.
Alabama Psychiatry and Counseling,(205) 440-6292,,http://www.alabama-psychiatry.com,2015 Stonegate Trl Suite 105,Birmingham,AL,35242,https://www.facebook.com/AlabamaPsychiatry,,,,['Mo-Fr 08:00-17:00'],,,19 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/alabama-psychiatry-and-counseling-512180850?lid=1001185261063,"Alabama Psychiatry & Counseling's mission is to provide personalized, high-quality effective mental health services with a goal of achieving remission. We have created a practice that provides tailored treatment that serves the individual and family needs.   We are a mental health facility comprised of dedicated, experienced professionals who believe in working with our patients to maintain and improve their health. We work together to serve your psychiatric and psychological needs in all stages of life. We provide comprehensive mental health services to our patients in a friendly, relaxed atmosphere. We also believe in educating our patients as we work with them to achieve the best physical state possible.   Our psychiatrist, Dr. Farah Khan, is certified by the American Board of Psychiatry and Neurology in the speciality of Psychiatry and the sub-speciality of Psychosomatic Medicine. Dr. Khan has been in practice since 2004.   Our therapists, Ms. Heidi Bullock and Ms. Lynne Kilgore, provide an array of counseling services to meet the individual and family needs."
Creative Wellness,(205) 933-5422,,http://www.creativewellnesscounseling.org,1116 23rd St S,Birmingham,AL,35205,,,,,['Mo-Fr 09:00-18:00'],,,17 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/creative-wellness-8627835,"Our professionals provide individual, couples and family counseling, as well as professional training and supervision.Creative Wellness InstituteCreative Wellness Institute is a 501 (c) organization whose mission is to ensure women, adolescent girls, families and couples have access to the highest quality of therapeutic services, support and programs without financial barriers."
Birmingham City Of,(205) 226-3650,,http://bplonline.org,2100 Park Pl,Birmingham,AL,35203,,,,,"['Mo-Tu 08:00-12:00', 'We 13:00-17:00', 'Th-Fr 08:00-12:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/birmingham-city-of-1078040,
Pediatric Therapy Associates,(205) 823-1215,,http://www.pediatricptot.com,700 Century Park S,Birmingham,AL,35226,https://www.facebook.com/pediatric-therapy-associates-inc-494608513931472,,,,['Mo-Fr 08:00-17:00'],,,42 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/pediatric-therapy-associates-464383256?lid=1001595783066,"Pediatric Therapy Assoc. Inc. is a private practice located in Birmingham, Alabama & established in 1981. Our focus includes school-based therapy, early intervention, private outpatient therapy, & community service. We are also involved with organizations that support & promote the participation of our children in community activities including special equestrians, challenger leagues, & Special Olympics"
Jody Gottlieb PhD,(205) 999-1214,,,1400 21st Way S,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/jody-gottlieb-phd-464286605,"About Dr. Jody S. Gottlieb PhD is a female clinical psychologist in Birmingham, AL. She is licensed to practice by the state board in Alabama (439).  Specialty: Clinical Psychologist A Clinical Psychologist is a mental health care specialist who offers counseling services to adults, couples, children, and communities. With a Ph.D. in psychology, they work in research, teaching, and clinical practice to help patients understand themselves and cope with day-to-day issues, mental illness, abuse, addiction, and loss. They are responsible for the assessment, diagnosis, and treatment of psychological issues within the clinical setting."
"Reed, Eric",(205) 933-0609,,https://www.myatgllp.com/contact-us,920 18th St S,Birmingham,AL,35205,,,,,['Mo-Fr 08:30-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/reed-eric-566629317,"At ATG, one of the nation's premier forensic drug testing facilities, we offer you comprehensive, cost effective drug and alcohol testing and Occupational Medicine service options from Medical Exams to Paternity Testing ATG is your one stop shop! We deliver the certainty of science, the dependability of proven drug screening processes and the assurance of legally defensible results. Our services include urine drug testing, oral fluid drug testing, prescription drug testing, EtG/EtS alcohol testing, ""synthetic marijuana"" drug testing, Kratom, Bath Salts, Anabolic steroid testing and more. We provide ""confidence in drug testing."" Choose ATG for all of your drug test needs."
Apollo Counseling,(205) 319-6222,,https://apollocounseling.org,"1117 22nd Street South, Suite 208",Birmingham,AL,35205,,,,,['Mo-Fr 09:00-18:00'],,,5 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/apollo-counseling-557128767,"Apollo Counseling is a Birmingham based professional mental health and wellness counseling service for individuals and couples. Apollo Counseling specializes in treating anxiety and depression. We primarily address concerns related to medical professionals, college students, relationship problems, and parenting support. Contact us today to start down the path towards mental wellness."
Transformative Grief Counseling,(205) 835-4074,,,1919 Oxmoor Rd,Birmingham,AL,35209,,,,,"['Mo 16:00-19:00', 'Tu 09:00-19:00', 'Th 09:00-19:00', 'Fr 15:00-18:00', 'Sa 10:00-15:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/transformative-grief-counseling-547929487,From Grief and Loss to Hope and Healing
"Dr. Diana Paulk, PHD",(205) 807-5372,,http://www.anxietyandtraumatherapybirmingham.com,3499 Independence Dr Ste 100,Birmingham,AL,35209,,,,,['Mo-Fr 09:00-17:00'],,,19 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-diana-paulk-phd-540557093,"I am a licensed psychologist and have more than 15 years of experience offering  
therapy to a variety of individuals in many different settings. Over the years, I  
have come to relish working with individuals who are striving to overcome issues  
associated with recent or past trauma - symptoms such as stress, avoidance  
and overwhelming feelings of anxiety, depression or worry. Together we can  
work to identify ways to help you get unstuck and get past current situations  
that are blocking your path to wellness."
Gottlieb  Jody PhD,(205) 999-1214,,,1400 21st Street Ensley,Birmingham,AL,35218,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/gottlieb-jody-phd-561191381,"About Dr. Jody S. Gottlieb PhD is a female clinical psychologist in Birmingham, AL. She is licensed to practice by the state board in Alabama (439).  Specialty: Clinical Psychologist A Clinical Psychologist is a mental health care specialist who offers counseling services to adults, couples, children, and communities. With a Ph.D. in psychology, they work in research, teaching, and clinical practice to help patients understand themselves and cope with day-to-day issues, mental illness, abuse, addiction, and loss. They are responsible for the assessment, diagnosis, and treatment of psychological issues within the clinical setting."
Hope Mental Health Counseling,(205) 704-0226,,,100 Century Park S,Birmingham,AL,35226,,,,,,,,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/hope-mental-health-counseling-505348014,Individual counseling and group psychotherapy for adolescents and adults.
Alabama Professional Counseling,(205) 732-5072,,,741 Volare Dr,Birmingham,AL,35244,,,,,"['Mo 18:00-20:00', 'We-Th 18:00-20:00', 'Sa 08:00-14:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-professional-counseling-548639008,Alabama professional counseling. LLC provides counseling for individuals and couples to the Greater birmingham area. Evenings and weekend appointments available NOW!.
"Price, Lynda C",(205) 547-0145,,,2214 3rd Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/price-lynda-c-544392482,
"Dailey, Latrice S",(205) 612-7091,,,2214 3rd Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dailey-latrice-s-547518191,
"Cecil, Dominique",(205) 447-0585,,,205 20th St N Ste 600,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/cecil-dominique-526179274,
ProCredit A Consumer Assistance Organization,(888) 532-7512,,,2015 1st Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/procredit-a-consumer-assistance-organization-496300230,
Taylor & Co,(205) 251-0280,,,1926 3rd Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/taylor-co-16980250,
"Sullen, Alisha L",(205) 502-7278,,,1728 5th Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/sullen-alisha-l-561600396,
"Roy Chambers IV, ALC",(205) 502-7278,,,1728 5th Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/roy-chambers-iv-alc-562466528,
JR Moore Associates,(205) 957-6600,,,1600 4th Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/jr-moore-associates-512342953,
"Wilson, Myra L",(205) 777-4022,,,404 15th St N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/wilson-myra-l-547584371,
"Palmore, Rachel B",(205) 777-4022,,,404 15th St N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/palmore-rachel-b-547621471,
"Dr. Laquise Shermaine Harbin, MD",(205) 777-4022,,,404 15th St N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-laquise-shermaine-harbin-md-550825225,
"Hill, Kahla R",(205) 777-4022,,,404 15th St N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/hill-kahla-r-562588817,
"Leah Brast, MS, ALC",(205) 323-5878,,,3420 2nd Ave N,Birmingham,AL,35222,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/leah-brast-ms-alc-569400860,
"Amber Fox, LPC",(205) 502-4664,,,2000 6th Ave S,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/amber-fox-lpc-561563410,
