Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Williamson Imported Parts Company,(205) 322-1748,,,2930 4th Ave S,Birmingham,AL,35233,,,,,,,,59 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/williamson-imported-parts-company-523287447,
Mighty Auto Parts,(205) 595-8868,info@mightyautoparts.com,http://www.mightyautoparts.com,100 38th St N,Birmingham,AL,35222,,,,,,,,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/mighty-auto-parts-550078026,
"Chase Bays, Inc",(205) 623-2188,,https://www.chasebays.com/pages/terms-and-conditions,913 5th Ave N,Birmingham,AL,35203,,,,,['Mo-Fr 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/chase-bays-inc-551373602,
Small Fry Imported Parts Inc,(205) 591-1171,,,3813 1st Ave N,Birmingham,AL,35222,,,,,['Mo-Fr 08:00-16:30'],,,44 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/small-fry-imported-parts-inc-7511418,
"Turbo Diesel & Electric Systems, Inc.",(205) 591-3600,,http://www.tdesystems.com/customer/tudiel/customerpages/Birmingham.html,3806 2nd Ave S,Birmingham,AL,35222,,,,,['Mo-Fr 08:00-17:00'],,,51 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/turbo-diesel-electric-systems-inc-8188612,
Keystone Automotive Keystone Automotive,(205) 595-0374,,http://www.keystone-auto.com,400 39th St N,Birmingham,AL,35222,,,,,,,,31 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/keystone-automotive-keystone-automotive-4255027,
Genuine Parts Company,(205) 510-2900,galyn_clayton@genpt.com,https://www.napaonline.com/en/al/birmingham/store/24750?cid=pl_yext_gpc_GenuinePartsCompany_24750,701 39th St N,Birmingham,AL,35222,,,,,"['Mo-Sa 07:00-19:00', 'Su 09:00-17:00']",,,95 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/genuine-parts-company-498110714,
Joe's Auto Parts,(205) 592-0493,,http://joesautoparts.com,249 47th St N,Birmingham,AL,35212,,,,,,,,68 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/joes-auto-parts-821964,
Brothers Tire,(205) 841-3233,,,3349 Vanderbilt Rd,Birmingham,AL,35217,,,,,,,,19 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/brothers-tire-481134846,
Knox Auto Parts of Birmin,(205) 637-2091,,https://knoxauto.com/contact-us,3055 35th Ave N,Birmingham,AL,35207,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/knox-auto-parts-of-birmin-545194895,
Hatfield Auto Parts and Service,(205) 871-9685,,,2727 18th St S,Birmingham,AL,35209,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/hatfield-auto-parts-and-service-560131753,
Deal Drive,(205) 703-4145,,,2120 Green Springs Hwy S,Birmingham,AL,35205,,,,,['Mo-Sa 09:00-18:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/deal-drive-554233382,
Rickwood Radio Service Inc,(205) 942-5595,rickwoodradioservice@gmail.com,,621 Robert Jemison Rd,Birmingham,AL,35209,,,,,['Mo-Sa 09:00-17:00'],,,56 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/rickwood-radio-service-inc-4591055,
Bowman Brothers Trim & Glass,(205) 591-6503,,http://www.alabamaautotop.com,6100 1st Ave S,Birmingham,AL,35212,,,,,['Mo-Fr 09:00-18:00'],,,52 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/bowman-brothers-trim-glass-529156914,
Precision Auto Sales and Parts,(205) 785-3131,,http://www.precisionautopartsandsales.com,1 18th St SW,Birmingham,AL,35211,,,,,['Mo-Sa 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/precision-auto-sales-and-parts-535071433,
Green Springs Motors,(205) 957-6666,,,6512 1st Ave N,Birmingham,AL,35206,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/green-springs-motors-506695102,
Windshield Replacement,(205) 715-8851,,,151 Vulcan Rd,Birmingham,AL,35209,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/windshield-replacement-521815417,
Tire Brothers Shop,(205) 841-3233,,,1100 Pinson Valley Pkwy,Birmingham,AL,35217,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/tire-brothers-shop-475820202,
1-800 Radiator of Birmingham,(205) 591-1001,1800radparts@gmail.com,,37 W Park Cir,Birmingham,AL,35211,,,,,"['Mo-Fr 08:00-17:00', 'Sa 08:00-12:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/1-800-radiator-of-birmingham-502762818,
Napa Auto Parts,(205) 841-6448,,http://napaonline.com,1944 Pinson Valley Pkwy,Birmingham,AL,35217,,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-17:00', 'Su 09:00-16:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/napa-auto-parts-451195258,
B&B Custom Floor Mats,(205) 565-8882,,http://www.wemakecarmats.com,7748 1st Ave N,Birmingham,AL,35206,,,,,"['Mo-Fr 08:00-19:00', 'Sa 08:00-16:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/b-b-custom-floor-mats-503620314,
AutoZone,(205) 841-1120,,http://www.autozone.com,2046 Pinson Valley Pkwy,Birmingham,AL,35217,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/autozone-468596776,
Honda Of Jasper,(205) 385-0092,rodom@hondaofjasper.com,https://www.hondaofjasper.com/,4102 Highway 78 E,Jasper,AL,35501,https://www.facebook.com/hondaofjasperalabama,,,,"['Mo-Fr 08:00-19:00', 'Sa 08:00-18:00']",4,1,14 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/jasper-al/mip/honda-of-jasper-548521877?lid=1001991433366,"Stop by and visit us today at Honda of Jasper in Jasper, Birmingham, Huntsville, Decatur, and Cullman, your local Honda new and used Car, Truck, SUV dealership. We take pride in the vehicles we sell and strive to succeed in great customer experience and satisfaction.  Whether you are looking for a new Honda Civic, Accord, or CR-V, our friendly staff at Honda of Jasper are eager to assist you in your car buying process."
Hyundai of Jasper,(205) 295-9400,scott_hyundai_of_jasper@yahoo.com,http://www.hyundaiofjasper.com/,4011 Highway 78 E,Jasper,AL,35501,https://www.facebook.com/hyundaiofjasperal,,,,"['Mo-Fr 08:30-19:00', 'Sa 08:30-18:00']",,,13 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/jasper-al/mip/hyundai-of-jasper-456073760?lid=1001991433372,
General Automotive Svc Co,(205) 788-6505,johndoe@email.com,http://www.acdelco.com,2316 Avenue E,Birmingham,AL,35218,https://m.facebook.com/pages/general-automotive-service/151651804876395,,,,['Mo-Fr 08:00-16:30'],,,16 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/general-automotive-svc-co-466917584?lid=1002104089241,"Life is about choices isnt it? And some are better than others. We abide by decisions based on positive experiences and those where we gain the most trust.  We not only understand this, our success depends on achieving this end goal with every customer.   We put our reputation on the line each day because we know you have many choices when it comes to taking your car in for repairs or where you buy your parts.  At the end of the day, its all about service.  Did we deliver on meeting your needs and expectations?"
New Todd's Auto Parts,(205) 578-0327,abdulahashmi@gmail.com,https://new-todds-auto-parts.business.site,2620 27th Ave N,Birmingham,AL,35207,https://www.facebook.com/pages/New-Todd-Auto-Parts/292511747572030,,,,['Mo-Sa 08:00-17:00'],,,29 Years,1 Year ,,,,https://www.yellowpages.com/birmingham-al/mip/new-todds-auto-parts-885967?lid=1002085124986,"New Todd Auto Parts Salvage Specialties : Auto parts available for all makes & models, even engines and transmissions! Sell your junk car for Cash today! We are a family run auto salvage yard, offering a self-service area as well as classics and RVs. Come check out the yard with no admission fee!"
Firestone Complete Auto Care,(205) 381-4791,,https://local.firestonecompleteautocare.com/alabama/birmingham/460-green-springs-hwy/?lw_cmp=IYP_YPC_MLP_29017,460 Green Springs Hwy,Birmingham,AL,35209,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",3.5,3,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480050221?lid=1002159714555,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 381-4643,,https://local.firestonecompleteautocare.com/alabama/birmingham/4619-us-280/?lw_cmp=IYP_YPC_MLP_12335,4619 Highway 280,Birmingham,AL,35242,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",1,2,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480054567?lid=1002159762435,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 381-4618,022675@bfrc.com,https://local.firestonecompleteautocare.com/alabama/birmingham/2329-center-point-pkwy/?lw_cmp=IYP_YPC_MLP_22675,2329 Center Point Pkwy,Birmingham,AL,35215,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",1,1,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480047297?lid=1002159710453,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 381-4710,003522@bfrc.com,https://local.firestonecompleteautocare.com/alabama/birmingham/2424-bessemer-rd/?lw_cmp=IYP_YPC_MLP_3522,2424 Bessemer Rd,Birmingham,AL,35208,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00']",,,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480047359?lid=1002159772499,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 208-8563,,https://local.firestonecompleteautocare.com/alabama/hoover/6606-tattersall-ln/?lw_cmp=IYP_YPC_MLP_799860,6606 Tattersall Ln,Birmingham,AL,35242,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",,,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-556664059?lid=1002159722431,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Frankie's Auto Parts,(205) 788-0070,,,2308 Avenue C,Birmingham,AL,35218,https://www.facebook.com/pages/frankies-auto-parts/139204222793462,,,,"['Mo-Fr 08:00-17:30', 'Sa 08:00-15:00']",,,32 Years,9 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/frankies-auto-parts-6985063?lid=1000625278197,
Goff's Radiator & Electric Inc,(205) 719-1501,goffelec1@bellsouth.net,http://www.goffradiatorandelectric.com,1205 Pinson St,Birmingham,AL,35217,https://www.facebook.com/goffsradiatorandelectric,,,,"['Mo-Fr 07:00-17:00', 'Sa 09:00-12:00']",1,3,46 Years,11 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/goffs-radiator-electric-inc-14545163?lid=1002059525289,"Let our over 35 years experience work for you. We do both automotive and industrial electrical and radiator work. We also restore classic cars. Industrial- Electrical rebuilds including industrial coolers, heat exchanges, radiators, air coolers, oil coolers, transmission coolers, and fuel tanks Automotive - Electrical and Radiator work including electrical system servicing, starters, alternators, pump motors, compete lighting repair, and computer analysis Classic Car Restoration- including fabrication and electrical systems"
Auto Whiz,(205) 882-7587,inverness@autowhiz.biz,https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1699341520252.0cf07708&ADID=12243365&DEST=https%3A%2F%2Fautowhizal.mydex.com%2F73m9HWsgsyU&C=Brake%20Repair&T=Birmingham&S=AL&PH=(205)%20882-7587&FL=url&TL=off&position=0&PS=1&PI=1&Results=FEED_CLCK&uid=0cf07708-68b0-4dd5-a9a9-64b3fb5f1130&REF=&IP=4.224.34.167&UserAgent=Mozilla%2F5.0,509 Cahaba Park Cir,Birmingham,AL,35242,https://www.facebook.com/autowhiz/,,,,['Mo-Fr 07:00-17:30'],,,26 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/auto-whiz-482468691?lid=1002158505086,"Auto Whiz is locally owned and operated. We have the knowledge and experience to get the job done right and have been helping people with their automotive service needs since 1997. We have built a successful business based on trust, respect, and ongoing customer communication. Our team understands and is sensitive to our customer's needs. We are fortunate to have a great group of managers and technicians working with us. Many of our employees have been with us since the beginning. Call us today."
AAMCO Transmissions & Total Car Care,(205) 259-5166,44120@aamcoemail.com,http://www.aamcobirmingham-downtown.com,2610 6th Ave S,Birmingham,AL,35233,https://www.facebook.com/aamco,,,,['Mo-Fr 07:30-17:00'],5,8,60 Years,14 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/aamco-transmissions-total-car-care-21658376?lid=1002157175244,"We are the experts in transmission repair and complete car care - clutches, brakes, factory scheduled maintenance, electrical, check engine lights, radiators, overheating problems, a/c and more."
AAMCO Transmissions & Total Car Care,(205) 259-5173,aamcobham@yahoo.com,http://www.aamcobirmingham-centerpoint.com,1251 Center Point Pkwy,Birmingham,AL,35215,https://www.facebook.com/aamco,,,,['Mo-Fr 07:30-17:00'],5,1,60 Years,14 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/aamco-transmissions-total-car-care-466218838?lid=1002157176659,"We are the experts in transmission repair and complete car care - clutches, brakes, factory scheduled maintenance, electrical, check engine lights, radiators, overheating problems, a/c and more."
Wheel& Rim Inc,(205) 324-4404,,http://wheelandriminc.com,4720 Pinson Valley Pkwy,Birmingham,AL,35215,https://www.facebook.com/pages/wheel-rim-inc/159309947432862,,,,['Mo-Fr 08:00-17:00'],2.5,2,22 Years,11 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/wheel-rim-inc-472649768?lid=355583174,"Established in 2001, the business offers Trailer Equipment and Parts."
Star Truck Parts,(205) 324-4681,,https://www.startruckparts1976.com,2616 20th St N,Birmingham,AL,35234,https://www.facebook.com/startruckparts,,,,['Mo-Fr 08:00-17:00'],,,47 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/star-truck-parts-3058857?lid=1002073737160,
"Duffy's Garage Land Rover, BMW, Jaguar, Audi, & Mini Cooper",(205) 715-2100,brad@duffysgarage.com,http://www.duffysgarage.com,4330 First Av. S.,Birmingham,AL,35222,https://www.facebook.com/DuffysGarage,,,,['Mo-Fr 07:30-17:00'],4.5,10,14 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/duffys-garage-land-rover-bmw-jaguar-audi-mini-cooper-474483688?lid=1000439551588,
Rob'e Mans Automotive Service,(205) 871-4712,info@robemans.com,http://www.robemans.com,2600 18th Street South,Birmingham,AL,35209,https://www.facebook.com/robemans,,,,"['Mo-Th 07:00-17:30', 'Fr 07:00-17:00']",5,4,40 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/robe-mans-automotive-service-467103370?lid=1000437178645,"We are a family owned and operated Honda, Acura, Nissan, Infiniti, Toyota and Lexus repair facility with 24 month or 24,000 mile warranty on most items. We take pride in delivering a higher level of quality service.  
ABOUT US.....As childhood friends, Eddie Cleveland and Angelo Roberson shared a passion for figuring out how things worked; specifically motorcycles and cars. More to the point, they spent a lot of time figuring out why something didnt work. Like most passions, it was only a matter of time before it became a profession. In 1983, Eddie and Angelo formed Robe Mans, working as mechanics servicing only Honda vehicles. When Honda introduced the upscale Acura line, they started servicing the Acura line. As time passed on, health concerns drove Angelo to retire. Eddie continued to run the ever-growing business, concentrating on maintaining the kind of personal and professional service that has earned Robe Mans a stellar reputation. In 2006, after numerous customer requests, Robe Mans decided to extend their services to include Toyota and Lexus, purchasing the building next door to their existing facility to accommodate the newly added lines. In 2012, again by popular demand and multiple customer requests, Rob'e Mans extended its professional service to include the Nissan and Infiniti brands. Today, Eddie Cleveland and the staff at Robe Mans continues to provide the kind of customer-focused service that started back in 1983, earning and keeping the trust of his customers by providing quality services with a personal touch."
Radiators  Inc of Birmingham,(205) 323-3333,rob@crescentradiator.com,http://www.crescentradiator.com,3230 Messer Airport Hwy,Birmingham,AL,35222,https://www.facebook.com/pages/radiators-inc-of-birgingham/391577957701652,,,,['Mo-Fr 09:00-17:00'],5,1,1022 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/radiators-inc-of-birmingham-12672406?lid=1000437165297,"Over 25,000 Quality Parts in Stock.  Radiators, A/C Condensers, Cooling Fans Automotive, Truck & Industrial.  Locally Owned & Operated.  Ask about our price match guaranteed"
Brakes For Less #6,(205) 224-5730,,,9448 Parkway E,Birmingham,AL,35215,,,,,['Mo-Sa 07:30-17:30'],,,14 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/brakes-for-less-6-497691466?lid=1001394061552,"Same Day Service**10 Minute Oil Change**old-Fashioned Values  Our goal is to provide customer satisfaction from every angle. We offer competitive pricing, work done in a timely manner and above all honesty. It is our goal to turn all of our customers into repeat customers. Guaranteed 10%+ off Competitor's estimate."
Palmer Brothers Auto Parts,(205) 956-8861,,http://www.birminghamautomobileparts.com,1849 Ruffner Rd,Birmingham,AL,35210,,,,,['Mo-Fr 08:00-17:00'],,,55 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/palmer-brothers-auto-parts-538478571?lid=1001761153064,"Welcome to Palmer Brothers Auto Parts! We are a third-generation family-owned and -operated business. We have been serving the Birmingham, Alabama, area since 1968. We pride ourselves on the fact that we have over 40 years of experience in the recycling business. We specialize in parts for Dodge, Chrysler, Jeep, Hyundai and Kia, but we also carry parts for many other makes and models. With over a million parts in our inventory system, we can supply all of your parts needs. We offer a 90-day warranty on all parts, as well as extended warranties. Be sure and ask our sales person for details when you call.  We deal in new, used, rebuilt and aftermarket parts. We do provide shipping services anywhere in the USA, so if you can’t make it to our physical location, don’t worry! We want to help you find quality parts for the best prices, no matter where you are located.  Ready to get rid of that old, unwanted, junk vehicle? Give us a call. We will buy your car or truck, but you must have the vehicle title in order for us to purchase it.  When you need to buy car parts, buying new isn’t always your best option! In fact, there are lots of reasons you might consider opting for used parts."
Cherry Avenue Auto,(205) 674-8668,recarda.finance@gmail.com,http://www.cherryavenueautoparts.com,2904 Cherry Ave,Birmingham,AL,35214,,,,,['Mo-Sa 08:00-18:00'],3.5,3,,,,,,https://www.yellowpages.com/birmingham-al/mip/cherry-avenue-auto-475305161?lid=1001329786997,"Used & Rebuilt Auto Parts, Automobile Body Repairing & Painting, Automobile Parts & Supplies, Auto Repair & Service , Automobile Salvage"
We Buy Junk Cars,(205) 229-2294,,,,Birmingham,AL,35201,https://www.facebook.com/we-buy-junk-cars-319332744927861,,,,['Mo-Su 09:00-17:00'],5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/we-buy-junk-cars-474667733?lid=1000636428624,"I PAY YOU CASH to purchase your cars that are free and clear of all liens, loans or pawns on title! Free and easy over the phone initial estimates. No need to worry about transportation. I COME to YOU to make it easy and fast to put CASH in your pocket! We work hard to have money in your hands within 24hours of contact! Call today to have me move it away!"
Mike Trammell Body Shop,(205) 323-5515,wreckertra@aol.com,http://www.miketrammellbodyshop.com,2121 2nd Ave S,Birmingham,AL,35233,,,,,"['Mo-Th 07:00-16:30', 'Fr 13:00-15:30']",3,2,35 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/mike-trammell-body-shop-21796320?lid=1000923289202,With 20 Years Experience We Offer The Highest Quality Work To Bring Your Vehicle Back To Life. We Can Handle Most Models From Cars To Trucks. Call Us Today For More Information.
Tameron Honda,(205) 823-3333,pehlers@tameron.com,http://www.tameronhonda.com,1675 Montgomery Hwy,Birmingham,AL,35216,,,,,"['Mo-Fr 07:00-19:00', 'Sa 08:00-17:00']",1,5,51 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/tameron-honda-451070477?lid=1000437161419,"Tameron Honda is an automobile dealership specializing in sales and service of new and pre-owned cars, vans and sport utility vehicles. The dealership s inventory of new models includes the Honda Pilot, Insight, Odyssey, Element, Ridgeline, Accord and Civic. Its inventory of pre-owned vehicle includes various makes, such as Acura, Chrysler, Jeep, Ford, Honda, Hyundai, Volvo and Mercury. The dealership has a service department with trained automotive technicians offering maintenance and repair services. Its parts department provides manufacture-recommended parts and accessories of various makes and models. The dealership also offers a variety of finance and leasing options to customers. It provides online price quotes and applications to customers for scheduling service appointments, and it additionally offers payment estimates. Tameron Honda is located in Birmingham, Ala."
Automotive Concepts,(205) 328-1639,,,2104 Green Springs Hwy S,Birmingham,AL,35205,https://www.facebook.com/pages/Automotive-Concepts/517733565044974?fref=ts,,,,['Mo-Sa 09:00-18:00'],,,31 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/automotive-concepts-19572695?lid=1000500543487,"Specializing In Car Audio, Window Tinting, Custom Wheels, Alarms, And More. Financing Available."
Bearings & Power Transmission Inc,(205) 252-2260,sales@bearingsandpowerinc.com,http://bearingsandpowertransmission.com,702 5th Ave N,Birmingham,AL,35203,https://www.facebook.com/Bearings-Power-Transmission-162045673820651,,,,,,,44 Years,5 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/bearings-power-transmission-inc-1087194?lid=1001930974648,"We carry bearings, speed reducers, motors, belts, sprockets, parts, power transmissions, v belts, couplings, industrial parts, and industrial supplies."
Hanvey Tire Inc,(205) 786-7682,cgreen12@charter.net,http://www.hanveytireautorepair.com,3000 Lomb Ave,Birmingham,AL,35208,https://www.facebook.com/hanveytire,,,,['Mo-Fr 07:00-17:00'],,,49 Years,12 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hanvey-tire-inc-3763544?lid=1001580311304,"Hanvey Tire and Auto Repair is an automotive repair and tire shop located in Birmingham, Al. Auto Repair, Tires, Alignments, Oil Change, Brakes, Tune Ups, Diagnostics, C.V. Axle"
Esco Auto Service Inc,(205) 833-0860,escoautoservice@bellsouth.net,http://www.acdelco.com,1161 Gadsden Hwy,Birmingham,AL,35235,https://www.facebook.com/pages/esco-auto-service/125787460808120,,,,['Mo-Fr 07:00-17:00'],,,32 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/esco-auto-service-inc-482421413?lid=1000625280134,"We service all makes and models, foreign and domestic. We offer quality work- guaranteed. - AC Repairs - Brake Service - Major & Minor Repairs - Computer Diagnostic Service"
Battery Sales and Service,(205) 320-1600,,http://www.batterysalesandservice.com,700 University Blvd,Birmingham,AL,35233,,,,,['Mo-Fr 06:00-16:00'],5,2,28 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/battery-sales-and-service-470438211?lid=1001789718111,"We sell commercial, automotive, marine and small equipment batteries wholesale to the public."
Hamilton Parts And Equipment Co,(205) 251-5518,julieh3400@aol.com,,3100 5th Ave S,Birmingham,AL,35233,,,,,['Mo-Fr 07:30-17:00'],5,1,68 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/hamilton-parts-and-equipment-co-13906008?lid=1001329769118,
Central Camper Inc,(205) 781-2129,centralcamperinc@gmail.com,http://centralcamperinc.com,2401 Avenue C,Birmingham,AL,35218,,,,,"['Mo-Fr 08:00-17:00', 'Sa 08:30-11:30']",,,53 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/central-camper-inc-13546572?lid=1000439534109,"Alabama's largest truck accessory shop. Central Camper Inc offers the best in trailers, and repairs to the Birmingham, Alabama area. We specialize in the sales and service of our products. Our skilled staff has all the experience to customize your trucks and trailers to make them look like new. We have served the Birmingham, Alabama area for over 40 years and continually offer quality work at affordable prices. When you are looking for a truck accessory shop make sure to give Central Camper Inc. a call."
Firestone Complete Auto Care,(800) 364-4314,,http://www.firestonecompleteautocare.com/repair/services.jsp?lw_cmp=IYP_YPC_PL_Parts,,,,,,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 09:00-17:00']",4,125,97 Years,12 Years ,,,,https://www.yellowpages.com/nationwide/mip/firestone-complete-auto-care-461600831?lid=1000511959095,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more. 
We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust - all of which add up to a total car care experience."
Honda Of Jasper,(205) 385-0092,rodom@hondaofjasper.com,https://www.hondaofjasper.com/,4102 Highway 78 E,Jasper,AL,35501,https://www.facebook.com/hondaofjasperalabama,,,,"['Mo-Fr 08:00-19:00', 'Sa 08:00-18:00']",4,1,14 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/jasper-al/mip/honda-of-jasper-548521877?lid=1001991433366,"Stop by and visit us today at Honda of Jasper in Jasper, Birmingham, Huntsville, Decatur, and Cullman, your local Honda new and used Car, Truck, SUV dealership. We take pride in the vehicles we sell and strive to succeed in great customer experience and satisfaction.  Whether you are looking for a new Honda Civic, Accord, or CR-V, our friendly staff at Honda of Jasper are eager to assist you in your car buying process."
Hyundai of Jasper,(205) 295-9400,scott_hyundai_of_jasper@yahoo.com,http://www.hyundaiofjasper.com/,4011 Highway 78 E,Jasper,AL,35501,https://www.facebook.com/hyundaiofjasperal,,,,"['Mo-Fr 08:30-19:00', 'Sa 08:30-18:00']",,,13 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/jasper-al/mip/hyundai-of-jasper-456073760?lid=1001991433372,
Peek Auto Parts,(256) 615-4803,sales@peekautoparts.com,http://peekautoparts.com,1937 2nd Ave SW,Cullman,AL,35055,https://www.facebook.com/PeekAutoParts/,,,,['Mo-Fr 08:00-17:00'],,,37 Years,3 Years ,,,Accredited Business,https://www.yellowpages.com/cullman-al/mip/peek-auto-parts-468475509?lid=1002073226163,"Peek Auto Parts has been specializing in Trucks and SUV's parts for over 30 years. All parts are pre-tested and guaranteed. We offer computerized inventory, free parts locating service, and Nationwide access for hard to find parts. We also buy late model Trucks and SUV'S."
